G4_id,location
1,D-loop
2,D-loop
3,D-loop
3,tRNA
4,rRNA
5,rRNA
6,tRNA
6,rRNA
7,rRNA
8,rRNA
9,rRNA
10,rRNA
11,CDS
12,CDS
13,CDS
14,CDS
15,CDS
16,CDS
17,tRNA
18,tRNA
18,CDS
19,CDS
20,CDS
21,CDS
22,CDS
23,CDS
24,tRNA
24,NaN
24,CDS
25,CDS
26,CDS
27,CDS
28,CDS
29,CDS
30,CDS
31,CDS
32,NaN
32,CDS
32,tRNA
33,CDS
34,CDS
35,CDS
36,CDS
37,CDS
38,CDS
39,CDS
40,CDS
41,CDS
42,CDS
43,CDS
44,CDS
45,CDS
46,CDS
47,CDS
48,CDS
49,CDS
50,CDS
51,CDS
52,CDS
53,CDS
54,CDS
55,CDS
56,CDS
57,CDS
58,CDS
59,CDS
60,CDS
61,CDS
62,CDS
63,CDS
64,CDS
65,CDS
66,CDS
67,CDS
68,CDS
69,CDS
70,CDS
71,D-loop
72,D-loop
73,D-loop
74,D-loop
